region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size
POA2551,48,1430,414,175,966,1.1,788,2.2
POA2555,34,1733,413,320,1151,1.2,1148,3.5
POA2556,37,2510,603,340,1602,1.1,1547,3.4
POA2557,37,2329,493,335,1396,1.1,1359,3.4
POA2558,32,1780,629,300,1603,1.1,1514,3.2
POA2559,21,1902,337,165,698,1.3,657,3.5
POA2560,33,1842,551,260,1399,1.1,1246,2.9
POA2563,46,1842,440,360,1041,1.1,1031,2.9
POA2564,33,1723,429,210,1108,1.2,994,2.9
POA2565,36,1800,562,290,1478,1.1,1293,2.8
POA2566,33,1820,585,280,1470,1.1,1385,3.1
POA2567,32,2167,740,375,1919,1.1,1841,3.2
POA2568,45,2334,529,110,1650,1.1,1352,2.8
POA2569,36,2000,640,250,1721,1.1,1663,3.1
POA2570,37,2200,661,320,1833,1.1,1635,2.9
POA2571,37,2167,657,250,1747,1.1,1531,2.9
POA2572,38,2058,550,270,1593,1.1,1402,2.8
POA2573,37,1993,513,280,1314,1.1,1117,2.7
POA2574,37,2000,557,265,1476,1.1,1271,2.9
POA2575,40,1798,524,257,1343,1.1,1109,2.6
POA2576,50,2000,575,300,1436,1.0,1149,2.4
POA2577,44,1800,553,240,1311,1.1,1072,2.5
POA2578,53,1700,480,250,1080,1.0,870,2.2
POA2579,44,1733,503,200,1251,1.1,1027,2.5
POA2580,41,1500,520,180,1290,1.1,982,2.4
POA2581,43,1660,656,180,1507,1.1,1234,2.5
POA2582,39,2000,735,230,1851,1.1,1556,2.7
POA2583,48,1300,445,135,1095,1.1,824,2.3
POA2584,47,1409,546,185,949,1.1,879,2.3
POA2585,48,1250,398,100,1262,1.1,828,2.4
POA2586,45,1000,458,120,1064,1.1,776,2.4
POA2587,47,1083,403,140,992,1.1,733,2.3
POA2588,46,1083,607,23,1343,1.0,1166,2.5
POA2590,46,1083,425,150,1030,1.1,769,2.3
POA2594,39,1300,446,180,1022,1.1,831,2.5
POA2618,41,2000,895,300,2299,1.1,2125,2.9
POA2619,34,2400,1144,365,2802,1.0,2691,3.1
POA2620,37,2000,800,270,1931,1.1,1522,2.5
POA2621,39,2252,974,350,2326,1.1,2185,2.9
POA2622,45,1517,532,200,1291,1.1,935,2.3
POA2623,39,1469,678,260,1537,1.1,1354,2.5
POA2625,38,2500,866,46,2100,1.6,1213,1.8
POA2626,41,1625,619,215,2107,1.1,1463,2.6
POA2627,35,1777,686,260,1570,1.1,1315,2.6
POA2628,44,1270,543,185,1252,1.1,955,2.4
POA2629,51,990,487,100,1224,1.0,796,2.1
POA2630,43,1226,525,180,1206,1.1,918,2.3
POA2631,48,762,411,61,882,1.1,754,2.3
POA2632,45,1083,493,140,1086,1.1,884,2.2
POA2633,51,910,386,100,937,1.0,672,2.1
POA2640,37,1517,587,200,1484,1.1,1131,2.4
POA2641,38,1300,495,180,1123,1.1,853,2.3
POA2642,41,1300,512,120,1225,1.1,1037,2.7
POA2643,46,1290,465,220,1042,1.1,880,2.4
POA2644,45,1083,503,140,1173,1.1,905,2.4
POA2645,51,520,339,75,687,1.1,582,2.0
POA2646,45,1300,475,160,1104,1.1,874,2.3
POA2647,51,1509,455,200,1002,1.1,819,2.2
POA2648,47,1070,431,130,917,1.1,721,2.3
POA2649,26,2600,500,0,2250,1.0,900,2.0
POA2650,35,1595,589,225,1426,1.1,1145,2.5
POA2651,24,1300,694,215,1326,1.1,1202,2.7
POA2652,42,1164,516,105,1266,1.1,978,2.6
POA2653,42,1083,457,160,1103,1.1,862,2.4
POA2655,43,1203,488,160,1160,1.0,907,2.5
POA2656,47,1000,444,70,1018,1.1,802,2.4
POA2658,45,813,396,125,949,1.1,705,2.4
POA2659,42,1300,465,140,1266,1.1,1036,2.5
POA2660,43,1127,422,140,1035,1.1,827,2.5
POA2661,24,0,773,225,2014,1.1,1874,3.0
POA2663,38,1200,462,160,1106,1.1,869,2.5
POA2665,44,650,387,85,888,1.1,709,2.5
POA2666,45,1092,426,140,990,1.1,794,2.4
POA2668,43,867,401,80,776,1.1,652,2.4
POA2669,42,433,431,22,1002,1.1,822,2.6
POA2671,40,1196,491,150,1182,1.1,943,2.4
POA2672,36,791,406,103,925,1.1,848,2.5
POA2675,40,997,530,100,1201,1.1,973,2.3
POA2678,20,0,209,0,0,0,0,0
POA2680,36,1517,532,180,1293,1.1,1074,2.7
POA2681,38,1408,519,162,1205,1.1,992,2.6
POA2700,42,1081,457,150,997,1.1,811,2.4
POA2701,42,1571,502,170,1182,1.1,970,2.7
POA2702,46,845,384,110,1038,1.1,702,2.4
POA2703,18,1300,281,40,1058,1.1,804,2.4
POA2705,37,1300,499,165,1200,1.1,977,2.6
POA2706,37,1170,503,150,1014,1.1,891,2.5
POA2707,40,1083,511,125,1178,1.1,935,2.6
POA2710,44,1083,469,140,1111,1.1,840,2.3
POA2711,43,1083,456,120,978,1.1,802,2.4
POA2712,47,900,421,108,926,1.1,766,2.2
POA2713,45,905,424,110,983,1.1,785,2.3
POA2714,53,1101,390,175,896,1.0,709,2.1
POA2715,44,700,454,120,1101,1.1,848,2.4
POA2716,47,910,450,100,1053,1.1,807,2.3
POA2717,40,910,410,140,966,1.1,842,2.6
